Game,School,Year,opp_name,same_conf,outcome,pts,opp_pts,home_game,height_diversity,ethnic_diversity,region_diversity,class_diversity,school_diversity,degree_diversity,experience_with_opponent,experience_in_arena,conference_size,conf_wl,opp_games_played,opponent_win_loss,Coach_Name,Coaching_Years,Coach_Win_Loss_Perc,Coach_NCAA_appear,Team_Comp_Change,Percentage_Dif_Points
27,brown,2007,Cornell,1,-12,67,79,1,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,10,8,0.6,28,0.464,Craig Robinson,1,0.484,0,0.5294,-0.179104478
28,brown,2007,Princeton,1,9,64,55,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,1,8,0.6,27,0.444,Craig Robinson,1,0.484,0,0.5294,0.140625
29,brown,2007,Pennsylvania,1,-3,64,67,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,1,8,0.6,29,0.69,Craig Robinson,1,0.484,0,0.5294,-0.046875
1,brown,2008,Eastern Michigan,0,19,74,55,0,0.18,0.66,0.64,0.64,0.42,0.58,1,2,12,0.642,32,0.406,Craig Robinson,2,0.379,0,0.4211,0.256756757
2,brown,2008,Michigan,0,-15,57,72,0,0.18,0.66,0.64,0.64,0.42,0.58,1,1,11,0.64,35,0.629,Craig Robinson,2,0.379,0,0.4211,-0.263157895
3,brown,2008,Rhode Island,0,-14,61,75,1,0.18,0.66,0.64,0.64,0.42,0.58,1,12,14,0.631,33,0.576,Craig Robinson,2,0.379,0,0.4211,-0.229508197
4,brown,2008,Northwestern,0,6,73,67,0,0.18,0.66,0.64,0.64,0.42,0.58,1,1,11,0.64,31,0.419,Craig Robinson,2,0.379,0,0.4211,0.082191781
5,brown,2008,Wagner,0,-1,63,64,1,0.18,0.66,0.64,0.64,0.42,0.58,1,12,11,0.64,30,0.367,Craig Robinson,2,0.379,0,0.4211,-0.015873016
6,brown,2008,UC-Davis,0,16,73,57,1,0.18,0.66,0.64,0.64,0.42,0.58,1,12,9,0.583,0,0,Craig Robinson,2,0.379,0,0.4211,0.219178082
7,brown,2008,Quinnipiac,0,7,86,79,0,0.18,0.66,0.64,0.64,0.42,0.58,1,1,11,0.64,29,0.483,Craig Robinson,2,0.379,0,0.4211,0.081395349
8,brown,2008,New Hampshire,0,16,68,52,1,0.18,0.66,0.64,0.64,0.42,0.58,1,12,9,0.583,30,0.333,Craig Robinson,2,0.379,0,0.4211,0.235294118
9,brown,2008,Providence,0,-19,51,70,0,0.18,0.66,0.64,0.64,0.42,0.58,1,1,16,0.626,31,0.581,Craig Robinson,2,0.379,0,0.4211,-0.37254902
10,brown,2008,Hartford,0,18,79,61,0,0.18,0.66,0.64,0.64,0.42,0.58,1,1,9,0.583,31,0.419,Craig Robinson,2,0.379,0,0.4211,0.227848101
11,brown,2008,Notre Dame,0,-33,54,87,0,0.18,0.66,0.64,0.64,0.42,0.58,1,1,16,0.626,32,0.75,Craig Robinson,2,0.379,0,0.4211,-0.611111111
12,brown,2008,Army,0,1,79,78,0,0.18,0.66,0.64,0.64,0.42,0.58,1,1,8,0.6,31,0.484,Craig Robinson,2,0.379,0,0.4211,0.012658228
13,brown,2008,American,0,13,68,55,1,0.18,0.66,0.64,0.64,0.42,0.58,1,12,8,0.6,30,0.533,Craig Robinson,2,0.379,0,0.4211,0.191176471
14,brown,2008,Baylor,0,-10,62,72,0,0.18,0.66,0.64,0.64,0.42,0.58,1,1,12,0.642,31,0.484,Craig Robinson,2,0.379,0,0.4211,-0.161290323
15,brown,2008,Yale,1,-3,63,66,0,0.18,0.66,0.64,0.64,0.42,0.58,2,1,8,0.6,27,0.519,Craig Robinson,2,0.379,0,0.4211,-0.047619048
16,brown,2008,Yale,1,9,77,68,1,0.18,0.66,0.64,0.64,0.42,0.58,2,12,8,0.6,27,0.519,Craig Robinson,2,0.379,0,0.4211,0.116883117
17,brown,2008,Cornell,1,-11,64,75,1,0.18,0.66,0.64,0.64,0.42,0.58,2,12,8,0.6,28,0.571,Craig Robinson,2,0.379,0,0.4211,-0.171875
18,brown,2008,Columbia,1,5,68,63,1,0.18,0.66,0.64,0.64,0.42,0.58,2,12,8,0.6,28,0.571,Craig Robinson,2,0.379,0,0.4211,0.073529412
19,brown,2008,Dartmouth,1,26,77,51,1,0.18,0.66,0.64,0.64,0.42,0.58,2,12,8,0.6,27,0.333,Craig Robinson,2,0.379,0,0.4211,0.337662338
20,brown,2008,Harvard,1,20,71,51,1,0.18,0.66,0.64,0.64,0.42,0.58,2,12,8,0.6,28,0.429,Craig Robinson,2,0.379,0,0.4211,0.281690141
21,brown,2008,Pennsylvania,1,5,66,61,0,0.18,0.66,0.64,0.64,0.42,0.58,2,1,8,0.6,31,0.71,Craig Robinson,2,0.379,0,0.4211,0.075757576
22,brown,2008,Princeton,1,2,65,63,0,0.18,0.66,0.64,0.64,0.42,0.58,2,1,8,0.6,28,0.393,Craig Robinson,2,0.379,0,0.4211,0.030769231
23,brown,2008,Columbia,1,15,67,52,0,0.18,0.66,0.64,0.64,0.42,0.58,2,1,8,0.6,28,0.571,Craig Robinson,2,0.379,0,0.4211,0.223880597
24,brown,2008,Cornell,1,-9,65,74,0,0.18,0.66,0.64,0.64,0.42,0.58,2,1,8,0.6,28,0.571,Craig Robinson,2,0.379,0,0.4211,-0.138461538
25,brown,2008,Princeton,1,7,64,57,1,0.18,0.66,0.64,0.64,0.42,0.58,2,12,8,0.6,28,0.393,Craig Robinson,2,0.379,0,0.4211,0.109375
26,brown,2008,Pennsylvania,1,32,75,43,1,0.18,0.66,0.64,0.64,0.42,0.58,2,12,8,0.6,31,0.71,Craig Robinson,2,0.379,0,0.4211,0.426666667
27,brown,2008,Harvard,1,16,78,62,0,0.18,0.66,0.64,0.64,0.42,0.58,2,1,8,0.6,28,0.429,Craig Robinson,2,0.379,0,0.4211,0.205128205
28,brown,2008,Dartmouth,1,4,75,71,0,0.18,0.66,0.64,0.64,0.42,0.58,2,1,8,0.6,27,0.333,Craig Robinson,2,0.379,0,0.4211,0.053333333
29,brown,2008,Ohio,0,-6,74,80,0,0.18,0.66,0.64,0.64,0.42,0.58,1,2,12,0.642,32,0.594,Craig Robinson,2,0.379,0,0.4211,-0.081081081
1,brown,2009,Rhode Island,0,-2,74,76,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,1,14,0.631,33,0.636,Jesse Agel,1,0.517,0,0.6111,-0.027027027
2,brown,2009,George Mason,0,-37,52,89,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,1,12,0.642,34,0.676,Jesse Agel,1,0.517,0,0.6111,-0.711538462
3,brown,2009,Holy Cross,0,5,62,57,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,1,8,0.6,29,0.517,Jesse Agel,1,0.517,0,0.6111,0.080645161
4,brown,2009,Northwestern,0,-9,64,73,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,13,11,0.64,30,0.267,Jesse Agel,1,0.517,0,0.6111,-0.140625
5,brown,2009,Army,0,7,80,73,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,13,8,0.6,30,0.467,Jesse Agel,1,0.517,0,0.6111,0.0875
6,brown,2009,Eastern Michigan,0,2,53,51,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,13,12,0.642,31,0.452,Jesse Agel,1,0.517,0,0.6111,0.037735849
7,brown,2009,Providence,0,-24,62,86,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,1,16,0.626,31,0.484,Jesse Agel,1,0.517,0,0.6111,-0.387096774
8,brown,2009,New Hampshire,0,-3,61,64,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,1,9,0.583,29,0.31,Jesse Agel,1,0.517,0,0.6111,-0.049180328
9,brown,2009,Hartford,0,10,72,62,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,13,9,0.583,34,0.529,Jesse Agel,1,0.517,0,0.6111,0.138888889
10,brown,2009,Wagner,0,-12,66,78,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,1,11,0.64,31,0.742,Jesse Agel,1,0.517,0,0.6111,-0.181818182
11,brown,2009,Quinnipiac,0,16,89,73,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,13,11,0.64,30,0.5,Jesse Agel,1,0.517,0,0.6111,0.179775281
12,brown,2009,American,0,-15,53,68,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,1,8,0.6,33,0.636,Jesse Agel,1,0.517,0,0.6111,-0.283018868
13,brown,2009,Virginia,0,-24,50,74,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,1,12,0.642,33,0.515,Jesse Agel,1,0.517,0,0.6111,-0.48
14,brown,2009,Bryant,0,13,69,56,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,1,13,4,0.596,0,0,Jesse Agel,1,0.517,0,0.6111,0.188405797
15,brown,2009,Yale,1,-8,62,70,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,13,8,0.6,28,0.464,Jesse Agel,1,0.517,0,0.6111,-0.129032258
16,brown,2009,Yale,1,-2,55,57,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,1,8,0.6,28,0.464,Jesse Agel,1,0.517,0,0.6111,-0.036363636
17,brown,2009,Cornell,1,-32,58,90,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,1,8,0.6,28,0.786,Jesse Agel,1,0.517,0,0.6111,-0.551724138
18,brown,2009,Columbia,1,-6,59,65,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,1,8,0.6,29,0.483,Jesse Agel,1,0.517,0,0.6111,-0.101694915
19,brown,2009,Dartmouth,1,-2,61,63,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,1,8,0.6,28,0.357,Jesse Agel,1,0.517,0,0.6111,-0.032786885
20,brown,2009,Harvard,1,-1,63,64,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,1,8,0.6,30,0.267,Jesse Agel,1,0.517,0,0.6111,-0.015873016
21,brown,2009,Pennsylvania,1,-21,52,73,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,13,8,0.6,31,0.419,Jesse Agel,1,0.517,0,0.6111,-0.403846154
22,brown,2009,Princeton,1,18,61,43,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,13,8,0.6,29,0.207,Jesse Agel,1,0.517,0,0.6111,0.295081967
23,brown,2009,Columbia,1,-13,57,70,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,13,8,0.6,29,0.483,Jesse Agel,1,0.517,0,0.6111,-0.228070175
